GameID	    GameID alt.	Hash	         Name
SLPS-25906	SLPS_259.06	0xD161DC71DD	ADK Tamashii
SLPS-25279	SLPS_252.79	0x30813C9155	Adventure Boy Club Magazine
SLPM-65061	SLPM_650.61	0x37AE1CB1A5	Adventure of Tokyo Disney Sea
SLUS-20170	SLUS_201.70	0x23D92589E5	Adventures of Cookie & Cream, The
SLUS-21592	SLUS_215.92	0x85798529D5	Adventures of Darwin, The
SLUS-20887	SLUS_208.87	0xF409F559DD	Adventures of Jimmy Neutron, The - Attack of the Twonkies
SCES-53956	SCES_539.56	0x04D9C18895	Aeon Flux
SCES-54169	SCES_541.69	0x548991D82D	Aeon Flux
SLES-53956	SLES_539.56	0x04D9218995	Aeon Flux
SLES-54169	SLES_541.69	0x548971D92D	Aeon Flux
SLUS-21205	SLUS_212.05	0x24D925891D	Aeon Flux
SLPM-65161	SLPM_651.61	0x1F863499ED	Aero Dancing 4
SLPM-65150	SLPM_651.50	0x27BE0CA16D	Aero Dancing 4 - New Generation
SLPM-65387	SLPM_653.87	0x67FE4CE185	Aero Dancing 4 - New Generation [Sega The Best 2800]
SLUS-20614	SLUS_206.14	0xB449B51915	Aero Elite - Combat Academy
SLPM-62301	SLPM_623.01	0x6CF644E93D	Aerobics Revolution
SCES-51168	SCES_511.68	0x499189C0FD	AFL Live 2004 - Aussie Rules Football
SCES-51903	SCES_519.03	0x1AC1D99055	AFL Live 2004 - Aussie Rules Football
SLES-51168	SLES_511.68	0x499169C1FD	AFL Live 2004 - Aussie Rules Football
SLES-51903	SLES_519.03	0x1AC1399155	AFL Live 2004 - Aussie Rules Football
SLES-52368	SLES_523.68	0x9349B119A5	AFL Live Premiership Edition
SCES-53449	SCES_534.49	0x845941087D	AFL Premiership 2005
SLES-53449	SLES_534.49	0x8459A1097D	AFL Premiership 2005
SCES-54068	SCES_540.68	0x7CA1B9F06D	AFL Premiership 2006
SCES-54639	SCES_546.39	0xED31296025	AFL Premiership 2007
SLPM-65579	SLPM_655.79	0xC82E9C3155	After School Love Beat
SLPM-65482	SLPM_654.82	0x4FD664C9A5	After...
SLPM-65481	SLPM_654.81	0x4FD664C9BD	After... [Limited Edition]
SLUS-20446	SLUS_204.46	0x639965C905	Agassi - Tennis Generation
SCES-52125	SCES_521.25	0x528991D80D	Agassi Tennis Generation
SLES-52125	SLES_521.25	0x528971D90D	Agassi Tennis Generation
SCES-50282	SCES_502.82	0xA97169204D	Age of Empires II - Age of Kings
SLES-50282	SLES_502.82	0xA97189214D	Age of Empires II - Age of Kings
SLPM-62076	SLPM_620.76	0x24BE0CA17D	Age of Empires II - The Age of Kings
SLES-52974	SLES_529.74	0x0BD12981CD	Agent Collection [Disc 1]
SLES-52005	SLES_520.05	0x7AA159F1E5	Agent Collection [Disc 2]
SCES-53910	SCES_539.10	0x14C9D19815	Agent Hugo
SLES-53504	SLES_535.04	0xF429D17945	Agent Hugo
SLES-53910	SLES_539.10	0x14C9319915	Agent Hugo
SLES-55364	SLES_553.64	0xA679812935	Agent Hugo - Hula Holiday
SLES-54917	SLES_549.17	0x15C931998D	Agent Hugo - Lemoon Twist
SLES-54212	SLES_542.12	0x449961C9D5	Agent Hugo - Roborumble
SLUS-20327	SLUS_203.27	0x4BB14DE1E5	Aggressive Inline
SLUS-29021	SLUS_290.21	0xCC39C569BD	Aggressive Inline [Demo]
SCES-50480	SCES_504.80	0xF9213970CD	Aggressive Inline Skating
SLES-50480	SLES_504.80	0xF921D971CD	Aggressive Inline Skating
SLPS-20000	SLPS_200.00	0x1BA11CB18D	AH-64D Apache [Beta]
SLPM-62329	SLPM_623.29	0x64FE4CE115	AI Igo 2003
SLPM-62330	SLPM_623.30	0x64FE4CE10D	AI Mahjong 2003
SLPM-62323	SLPM_623.23	0x64FE4CE145	AI Shogi 2003
SLPS-25225	SLPS_252.25	0x38893499ED	Ai Yori Aoshi
SLPS-25224	SLPS_252.24	0x38893499E5	Ai Yori Aoshi [Limited Edition]
SLPS-25274	SLPS_252.74	0x30813C917D	Aikagi
SLPM-65922	SLPM_659.22	0xA046F45975	Aikagi [Best Version]
SLPS-25447	SLPS_254.47	0x40F14CE1E5	Aim for the Top! Gunbuster
SLPS-25127	SLPS_251.27	0x10A11CB1B5	Air
SLPM-66982	SLPM_669.82	0xA94EFC515D	Air [Best Version]
SLPM-65844	SLPM_658.44	0x886EDC71ED	Air [Best]
SLUS-20703	SLUS_207.03	0xA459A509CD	Air Force - Delta Strike
SLPM-65260	SLPM_652.60	0x079E2C81DD	Air Land Force
SCES-53772	SCES_537.72	0x34E9F1B8E5	Air Raid 3
SLES-53772	SLES_537.72	0x34E911B9E5	Air Raid 3
SLPS-20216	SLPS_202.16	0x2B912C817D	Air Ranger - Rescue Helicopter
SLKA-25052	SLKA_250.52	0xE890E24995	Air Ranger 2 - Rescue Helicopter
SLPS-25098	SLPS_250.98	0x18A914B9D5	Air Ranger 2 - Rescue Helicopter
SLPM-65409	SLPM_654.09	0x5FC674D9ED	Air Ranger 2 - Rescue Helicopter - Plus
SLPM-65325	SLPM_653.25	0x77EE5CF1A5	Air Ranger 2 - Rescue Helicopter [Best]
SLPS-20083	SLPS_200.83	0x0BB10CA105	Air Ranger Rescue Helicopter
SCES-50953	SCES_509.53	0x71A9B1F88D	Air Rescue Ranger
SLES-50953	SLES_509.53	0x71A951F98D	Air Rescue Ranger
SCES-50246	SCES_502.46	0xA179612825	AirBlade
SLES-50246	SLES_502.46	0xA179812925	AirBlade
SLUS-20346	SLUS_203.46	0x4BB14DE10D	AirBlade
SLUS-29017	SLUS_290.17	0xCC39C5699D	Airblade [Demo]
SCES-52939	SCES_529.39	0x03D9C188ED	Airborne Troops - Countdown to D-Day
SLES-52939	SLES_529.39	0x03D92189ED	Airborne Troops - Countdown to D-Day
SLUS-21125	SLUS_211.25	0x34C935998D	Airboure Troops - Countdown to D-Day
SLPM-65486	SLPM_654.86	0x4FD664C985	Airforce Delta - Blue Wing Knights
SLPM-65722	SLPM_657.22	0xE80EBC11FD	Airforce Delta - Blue Wing Knights [Konami the Best]
SLKA-25133	SLKA_251.33	0x10681AB1E5	AirForce Delta Strike
SLPM-65044	SLPM_650.44	0x3FA614B925	Aizouban Angelique Trois [Koei The Best]
SCES-51079	SCES_510.79	0x518991D8DD	Ajax Club Football
SLES-51079	SLES_510.79	0x518971D9DD	Ajax Club Football
SCES-52661	SCES_526.61	0xDB011950C5	Ajax Club Football 2005
SLES-52661	SLES_526.61	0xDB01F951C5	Ajax Club Football 2005
SLPM-62269	SLPM_622.69	0x74EE5CF125	Akagi - Yami ni Oritattatensai
SLPM-65732	SLPM_657.32	0xF016A40915	Akaiito
SLPM-55006	SLPM_550.06	0x0596248945	Akane Iro ni Somaru Saka - Parallel
SCES-50919	SCES_509.19	0x09D1C98085	Akira Psycho Ball
SLES-50919	SLES_509.19	0x09D1298185	Akira Psycho Ball
SLPS-20150	SLPS_201.50	0x3B813C911D	Akira Psycho Ball
SLPM-65151	SLPM_651.51	0x27BE0CA165	Akudaikan
SLPM-65339	SLPM_653.39	0x77EE5CF115	Akudaikan [Global The Best]
SLPM-65330	SLPM_653.30	0x77EE5CF15D	Akudaikan 2
SLPM-65620	SLPM_656.20	0xD0368429B5	Akudaikan 2 [Global The Best]
SLPM-66653	SLPM_666.53	0xD1368429FD	Akudaikan 3
SLPM-55145	SLPM_551.45	0x6DFE4CE195	Akudaikan 3 [Global the Best]
SLPM-66175	SLPM_661.75	0x58BE0CA165	Akumajo Dracula - Yami no Juin
SLPM-66668	SLPM_666.68	0xD93E8C217D	Akumajo Dracula - Yami no Juin [Konami the Best]
SLES-54958	SLES_549.58	0x1DC13991DD	Alan Hansen's Sports Challenge
SCES-52063	SCES_520.63	0x62B9A1E82D	Alarm for Cobra 11 Autobahn
SLES-52063	SLES_520.63	0x62B941E92D	Alarm for Cobra 11 Autobahn
SCES-53360	SCES_533.60	0xAC7169209D	Alarm for Cobra 11 Vol.2 - Hot Pursuit
SLES-53360	SLES_533.60	0xAC7189219D	Alarm for Cobra 11 Vol.2 - Hot Pursuit
SLES-52920	SLES_529.20	0x1BC139916D	Alarm fuer Cobra 11 Vol II
SCES-50429	SCES_504.29	0x89514900D5	Alex Ferguson Player Manager 2002
SLES-50429	SLES_504.29	0x8951A901D5	Alex Ferguson Player Manager 2002
SLUS-21321	SLUS_213.21	0x44B945E99D	Alfa Romeo Racing Italiano
SCES-51821	SCES_518.21	0x2AF1E9A0F5	Alias
SCES-51822	SCES_518.22	0x2AF1E9A0ED	Alias
SLES-51821	SLES_518.21	0x2AF109A1F5	Alias
SLES-51822	SLES_518.22	0x2AF109A1ED	Alias
SLUS-20673	SLUS_206.73	0xA459A5093D	Alias
SLPM-62341	SLPM_623.41	0x5CC674D9CD	Alice's Adventures in Wonderland
SLUS-21090	SLUS_210.90	0x0CF10DA18D	Alien Homind
SCES-53139	SCES_531.39	0x538991D87D	Alien Humanoid
SLES-53139	SLES_531.39	0x538971D97D	Alien Humanoid
SLES-55532	SLES_555.32	0x8E51A9015D	Aliens in the Attic
SCES-51792	SCES_517.92	0x22F9E1A815	Aliens vs Predator - Extinction
SLES-51792	SLES_517.92	0x22F901A915	Aliens vs Predator - Extinction
SLUS-20147	SLUS_201.47	0x3BC13D9135	Aliens vs Predator - Extinction
SLPS-20139	SLPS_201.39	0x3B813C91F5	All Star Pro-Wrestling II
SCES-50218	SCES_502.18	0xB96179305D	All-Star Baseball 2002
SLES-50218	SLES_502.18	0xB96199315D	All-Star Baseball 2002
SLPM-62069	SLPM_620.69	0x24BE0CA135	All-Star Baseball 2002
SLUS-20008	SLUS_200.08	0x1BE11DB1CD	All-Star Baseball 2002
SCES-50447	SCES_504.47	0xF12931783D	All-Star Baseball 2003
SLES-50447	SLES_504.47	0xF129D1793D	All-Star Baseball 2003
SLPM-65137	SLPM_651.37	0x27BE0CA115	All-Star Baseball 2003
SLUS-20311	SLUS_203.11	0x43B945E96D	All-Star Baseball 2003
SLUS-28007	SLUS_280.07	0xC331CD6165	All-Star Baseball 2003 [Trade Demo]
SLUS-20569	SLUS_205.69	0x84798529DD	All-Star Baseball 2004
SLUS-20838	SLUS_208.38	0xCC31CD616D	All-Star Baseball 2005
SLES-54459	SLES_544.59	0x9D41B911F5	All-Star Fighters
SLPS-20022	SLPS_200.22	0x1BA11CB13D	All-Star Pro Wrestling
SLPM-65300	SLPM_653.00	0x7FE654F965	All-Star Pro Wrestling 3
SCES-51602	SCES_516.02	0xD2091158F5	All-Stars Baseball 2004
SLES-51602	SLES_516.02	0xD209F159F5	All-Stars Baseball 2004
SLES-55207	SLES_552.07	0x5D8179D1D5	Alone in the Dark
SLPM-65085	SLPM_650.85	0x37AE1CB165	Alone in the Dark
SLUS-21690	SLUS_216.90	0xBD41BD11FD	Alone in the Dark
SCES-50185	SCES_501.85	0xB16971384D	Alone in the Dark 4
SLES-50185	SLES_501.85	0xB16991394D	Alone in the Dark 4
SCES-50887	SCES_508.87	0x01D9C1888D	Alpine Racer 3
SCPS-51006	SCPS_510.06	0x79E1BCF03D	Alpine Racer 3
SLES-50887	SLES_508.87	0x01D921898D	Alpine Racer 3
SLPS-20181	SLPS_201.81	0x239924891D	Alpine Racer 3
SCES-54370	SCES_543.70	0xAD7169200D	Alpine Ski Racing
SLES-54370	SLES_543.70	0xAD7189210D	Alpine Ski Racing
SCES-54560	SCES_545.60	0xFD2139704D	Alpine Ski Racing 2007
SLES-54560	SLES_545.60	0xFD21D9714D	Alpine Ski Racing 2007
SCES-51670	SCES_516.70	0xC2190148C5	Alter Echo
SCES-51671	SCES_516.71	0xC2190148CD	Alter Echo
SLES-51670	SLES_516.70	0xC219E149C5	Alter Echo
SLES-51671	SLES_516.71	0xC219E149CD	Alter Echo
SLUS-20465	SLUS_204.65	0x6B916DC175	Alter Echo
SLUS-29056	SLUS_290.56	0xFC09F55965	Alter Echo [Demo]
SCES-53024	SCES_530.24	0x7BA1B9F0CD	Altered Beast
SLES-53024	SLES_530.24	0x7BA159F1CD	Altered Beast
SLES-55052	SLES_550.52	0x75A951F9A5	Alvin and the Chipmunks
SLUS-21706	SLUS_217.06	0xA559A50965	Alvin and The Chipmunks
SLPS-25918	SLPS_259.18	0xD161DC71BD	Amagami
SLPS-25989	SLPS_259.89	0xF949F4594D	Amagami [EBKore+ Limited Edition]
SLPS-25987	SLPS_259.87	0xF949F4597D	Amagami [EBKore+]
SLPS-25489	SLPS_254.89	0x78C974D96D	Ambition of Giren - Zeon Independence War + Direction Book of Capture [Gundam the Best]
SLPS-25702	SLPS_257.02	0x81318C212D	Amekoushi no Kan
SLPS-25847	SLPS_258.47	0xA111AC0185	Amekoushi no Kan [The Best Price]
SLPS-25106	SLPS_251.06	0x18A914B915	America Oudan Ultra-Quiz
SLPS-25229	SLPS_252.29	0x38893499CD	America Oudan Ultra-Quiz [DigiCube Best Selection]
SCES-52366	SCES_523.66	0x9349511855	America's 10 Most Wanted
SCES-52367	SCES_523.67	0x934951185D	America's 10 Most Wanted
SLES-52366	SLES_523.66	0x9349B11955	America's 10 Most Wanted
SLES-52367	SLES_523.67	0x9349B1195D	America's 10 Most Wanted
SLUS-21188	SLUS_211.88	0x24D9258995	America's Army - Rise of a Soldier
SLPS-20011	SLPS_200.11	0x1BA11CB1D5	American Arcade
SCES-53108	SCES_531.08	0x6BB1A9E07D	American Chopper
SLES-53108	SLES_531.08	0x6BB149E17D	American Chopper
